Epoch,Memory,Power,Utilization,Val_Acc
0,31745,,34,0.9160833333333334
1,31745,,34,0.9204166666666667
2,31745,,34,0.9426666666666667
3,31745,,33,0.9469166666666666
4,31745,,29,0.9576666666666667
5,31745,,31,0.9635833333333333
6,31745,,31,0.94875
7,31745,,50,0.9603333333333334
8,31745,,31,0.9594166666666667
9,31745,,50,0.9665833333333333
10,31745,,30,0.9575
11,31745,,49,0.9648333333333333
12,31745,,28,0.9595
13,31745,,33,0.9590833333333333
14,31745,,31,0.96175
15,31745,,21,0.97125
16,31745,,41,0.9684166666666667
17,31745,,24,0.9683333333333334
18,31745,,51,0.95325
19,31745,,51,0.9700833333333333
20,31745,,28,0.9635
21,31745,,48,0.9709166666666667
22,31745,,30,0.9615
23,31745,,43,0.9648333333333333
24,31745,,25,0.9701666666666666
25,31745,,31,0.96925
26,31745,,51,0.9688333333333333
27,31745,,30,0.9665
28,31745,,51,0.9716666666666667
29,31745,,30,0.9715
30,31745,,51,0.972
31,31745,,30,0.9740833333333333
32,31745,,48,0.976
33,31745,,29,0.9665833333333333
34,31745,,38,0.9715833333333334
35,31745,,30,0.9715
36,31745,,21,0.968
37,31745,,41,0.9740833333333333
38,31745,,23,0.9756666666666667
39,31745,,49,0.9756666666666667
40,31745,,29,0.97375
41,31745,,48,0.9763333333333334
42,31745,,29,0.9739166666666667
43,31745,,51,0.97325
44,31745,,26,0.97675
45,31745,,44,0.9771666666666666
46,31745,,29,0.9754166666666667
47,31745,,51,0.9746666666666667
48,31745,,29,0.9753333333333334
49,31745,,49,0.978
50,31745,,24,0.9763333333333334
51,31745,,28,0.97625
52,31745,,50,0.9776666666666667
53,31745,,51,0.9710833333333333
54,31745,,31,0.9786666666666667
55,31745,,49,0.9718333333333333
56,31745,,32,0.9780833333333333
57,31745,,49,0.9745833333333334
58,31745,,41,0.9780833333333333
59,31745,,30,0.9781666666666666
60,31745,,39,0.97525
61,31745,,23,0.9766666666666667
62,31745,,43,0.9793333333333333
63,31745,,20,0.9733333333333334
64,31745,,49,0.9773333333333334
65,31745,,26,0.9753333333333334
66,31745,,47,0.9794166666666667
67,31745,,31,0.9784166666666667
68,31745,,52,0.9731666666666666
69,31745,,31,0.9741666666666666
70,31745,,49,0.9750833333333333
71,31745,,30,0.9738333333333333
72,31745,,52,0.9753333333333334
73,31745,,30,0.9754166666666667
74,31745,,50,0.9739166666666667
75,31745,,28,0.9786666666666667
76,31745,,43,0.97725
77,31745,,31,0.97375
78,31745,,24,0.9779166666666667
79,31745,,39,0.9766666666666667
80,31745,,19,0.98025
81,31745,,46,0.9773333333333334
82,31745,,27,0.9741666666666666
83,31745,,49,0.9770833333333333
84,31745,,28,0.978
85,31745,,51,0.9778333333333333
86,31745,,28,0.97675
87,31745,,50,0.9793333333333333
88,31745,,29,0.9785833333333334
89,31745,,50,0.9758333333333333
90,31745,,28,0.97725
91,31745,,48,0.97875
92,31745,,27,0.9773333333333334
93,31745,,49,0.9785
94,31745,,28,0.97875
95,31745,,47,0.9789166666666667
96,31745,,27,0.9775
97,31745,,27,0.9783333333333334
98,31745,,31,0.9808333333333333
99,31745,,15,0.97725
