Timestamp,Value
1730121441.3829381,8
1730121441.5083733,2
1730121441.6368186,13
1730121441.7617729,43
1730121441.8897817,43
1730121442.0287833,34
1730121442.1582322,39
1730121442.283667,39
1730121442.3960567,39
1730121442.5365438,34
1730121442.65094,40
1730121442.7753718,40
1730121442.9008036,40
1730121443.0453045,35
1730121443.1715608,43
1730121443.2979991,43
1730121443.426445,43
1730121443.553886,35
1730121443.6788356,39
1730121443.8193228,39
1730121443.9327135,39
1730121444.0601556,36
1730121444.186118,43
1730121444.3256013,37
1730121444.4510365,37
1730121444.5624225,37
1730121444.6898644,42
1730121444.8002467,37
1730121444.9266846,37
1730121445.039075,41
1730121445.1514642,38
1730121445.2638533,38
1730121445.3762429,39
1730121445.5016778,39
1730121445.62912,39
1730121445.7415068,40
1730121445.8699503,40
1730121445.9953854,40
1730121446.12082,38
1730121446.2322063,40
1730121446.3576412,38
1730121446.47003,38
1730121446.5824199,41
1730121446.69481,38
1730121446.8187716,38
1730121446.9301949,38
1730121447.0566328,43
1730121447.1720333,43
1730121447.2834187,35
1730121447.4279196,40
1730121447.562386,40
1730121447.6853325,40
1730121447.8092854,36
1730121447.934717,39
1730121448.0631618,40
1730121448.1926105,40
1730121448.318045,35
1730121448.4424767,54
1730121448.5709226,42
1730121448.7013736,42
1730121448.8253357,35
1730121448.9537804,42
1730121449.0797338,43
1730121449.2061713,43
1730121449.3341322,40
1730121449.4605706,38
1730121449.5910225,40
1730121449.728013,40
1730121449.856984,37
1730121449.984426,42
1730121450.1088572,43
1730121450.2352953,43
1730121450.363741,42
1730121450.4921856,43
1730121450.6206307,42
1730121450.7470696,42
1730121450.8768175,37
1730121451.0012486,42
1730121451.1296933,37
1730121451.257136,37
1730121451.3845775,9
1730121451.5150294,10
1730121451.6414678,11
1730121451.7674177,11
1730121451.8793108,10
1730121452.0047457,10
1730121452.1161318,12
1730121452.244577,12
1730121452.3569663,10
1730121452.485379,11
1730121452.6096694,11
1730121452.7381144,7
1730121452.863085,23
1730121452.9734674,37
1730121453.1019125,37
1730121453.2143016,36
1730121453.338734,38
1730121453.4651723,38
1730121453.5936172,37
1730121453.70854,40
1730121453.82996,39
1730121453.9584048,39
1730121454.0818338,38
1730121454.2082715,42
1730121454.3367171,42
1730121454.4651623,36
1730121454.5916007,41
1730121454.7180386,39
1730121454.8431752,39
1730121454.9736278,34
1730121455.0980587,42
1730121455.2244968,38
1730121455.352943,38
1730121455.4783776,57
1730121455.605568,60
1730121455.734539,62
1730121455.859974,62
1730121455.9864118,37
1730121456.116864,40
1730121456.2433023,39
1730121456.3717475,39
1730121456.5022,37
1730121456.631649,38
1730121456.7550764,41
1730121456.881096,41
1730121457.011548,52
1730121457.1510315,41
1730121457.2784734,42
1730121457.406919,42
1730121457.535364,40
1730121457.66183,42
1730121457.7902718,40
1730121457.9167075,40
1730121458.0411391,38
1730121458.169585,40
1730121458.3000367,38
1730121458.428482,38
1730121458.5569272,39
1730121458.6833658,37
1730121458.811811,45
1730121458.9357715,39
1730121459.0627286,39
1730121459.1751177,38
1730121459.2880273,45
1730121459.4134626,45
1730121459.5419075,38
1730121459.654297,36
1730121459.7812438,36
1730121459.9096868,41
1730121460.0371287,40
1730121460.1625636,37
1730121460.291009,37
1730121460.403398,42
1730121460.5298367,37
1730121460.6422262,41
1730121460.7546158,41
1730121460.8806,39
1730121461.0090458,40
1730121461.121435,40
1730121461.2338245,36
1730121461.3512318,44
1730121461.4796772,44
1730121461.606115,36
1730121461.715016,42
1730121461.8432367,39
1730121461.9666982,39
1730121462.0971508,35
1730121462.2235878,41
1730121462.3500266,37
1730121462.4764652,37
1730121462.6049106,8
1730121462.7353628,12
1730121462.8638048,11
1730121462.9892404,11
1730121463.100626,10
1730121463.2270644,11
1730121463.3394537,11
1730121463.4678988,11
1730121463.580289,10
1730121463.6921635,11
1730121463.817727,11
1730121463.943163,6
1730121464.0706043,27
1730121464.182994,27
1730121464.3004005,37
1730121464.424832,40
1730121464.550267,40
1730121464.6807187,36
1730121464.8091643,37
1730121464.935138,41
1730121465.0615764,41
1730121465.1920288,38
1730121465.3184662,36
1730121465.4469118,61
1730121465.5733504,61
1730121465.7033246,44
1730121465.8458164,37
1730121465.9702477,49
1730121466.098693,40
1730121466.227138,40
1730121466.355583,35
1730121466.4840288,43
1730121466.6084602,42
1730121466.7369056,42
1730121466.866383,38
1730121466.9948285,39
1730121467.1262841,41
1730121467.2507155,41
1730121467.3781579,33
1730121467.510617,46
1730121467.6350477,37
1730121467.7599993,37
1730121467.8914547,35
1730121468.0219066,43
1730121468.1473413,39
1730121468.2757866,39
1730121468.401222,36
1730121468.52766,40
1730121468.6510875,40
1730121468.7805364,40
1730121468.9059718,40
1730121469.0349286,42
1730121469.1613665,39
1730121469.2903335,39
1730121469.4157684,36
1730121469.541203,40
1730121469.6649861,39
1730121469.7924275,39
1730121469.9168568,39
1730121470.0440722,40
1730121470.1825528,41
1730121470.3078454,41
1730121470.4352868,35
1730121470.5642626,44
1730121470.6866875,40
1730121470.8111184,40
1730121470.9361799,33
1730121471.0626187,39
1730121471.191064,38
1730121471.319509,38
1730121471.4489577,38
1730121471.5729613,43
1730121471.7009218,38
1730121471.825397,38
1730121471.9533894,38
1730121472.081834,41
1730121472.2062662,41
1730121472.3477557,41
1730121472.4591424,37
1730121472.5895941,40
1730121472.716033,40
1730121472.8420064,39
1730121472.9664378,35
1730121473.0948825,39
1730121473.220984,39
1730121473.3464181,40
1730121473.4568012,29
1730121473.583239,11
1730121473.7111979,11
1730121473.8225842,11
1730121473.9483147,26
1730121474.0767603,26
1730121474.2006984,15
1730121474.313088,11
1730121474.424474,13
1730121474.5499089,13
1730121474.6622987,10
1730121474.7881348,10
1730121474.8987842,10
1730121475.0272284,5
1730121475.1556745,35
1730121475.2660573,38
1730121475.3945024,38
1730121475.52094,40
1730121475.6453714,41
1730121475.7708516,41
1730121475.8962843,38
1730121476.0267365,44
1730121476.1551816,42
1730121476.2836268,42
1730121476.414079,37
1730121476.5565732,35
1730121476.6850185,40
1730121476.813464,38
1730121476.9399326,38
1730121477.0653682,40
1730121477.1908026,39
1730121477.3011856,39
1730121477.413575,39
1730121477.5269675,39
1730121477.638354,39
1730121477.7507641,39
1730121477.8782063,40
1730121478.01769,40
1730121478.1461353,40
1730121478.2745802,41
1730121478.403025,40
1730121478.5314705,38
1730121478.657909,38
1730121478.784347,38
1730121478.8952513,41
1730121479.0066369,41
1730121479.1175373,40
1730121479.2419693,40
1730121479.3679123,37
1730121479.4933465,37
1730121479.604733,38
1730121479.7326965,40
1730121479.8584316,40
1730121479.9828622,38
1730121480.1072938,41
1730121480.227711,43
1730121480.3481288,43
1730121480.4685457,37
1730121480.5889635,40
1730121480.7103844,40
1730121480.8217704,37
1730121480.9487565,38
1730121481.060142,43
1730121481.1725326,43
1730121481.3009775,38
1730121481.427416,38
1730121481.555861,38
1730121481.6687784,40
1730121481.7942133,39
1730121481.9051323,39
1730121482.0195286,35
1730121482.1289089,43
1730121482.2623706,43
1730121482.4018548,40
1730121482.5292962,49
1730121482.66878,48
1730121482.780166,40
1730121482.905598,40
1730121483.0179884,43
1730121483.1454298,39
